lat,lon
12.02441156,79.84931267
12.02457975,79.8499698
12.02460401,79.8500195
12.02458084,79.8500333
12.0243983,79.85002881
12.02453236,79.85058913
12.02437499,79.85033526
12.02424981,79.85046684
12.02427489,79.85059422
12.024082,79.85077662
12.02411295,79.85062638
12.02414767,79.85040337
12.02427339,79.85067151
12.02530494,79.84970598
12.0223541,79.85191943
12.02253008,79.85196583
12.02250959,79.85191612
12.02223716,79.85182204
12.02229488,79.85195907
12.01948743,79.85761744
12.01959328,79.85762468
12.01922058,79.85752904
12.0192838,79.85756694
12.01942413,79.85702423
12.01975477,79.85784024
12.01987403,79.85749144
