"'Acacia auriculiformis'","18.84","0","plot1"
"'Acacia auriculiformis'","9.80","0","plot1"
"'Acacia auriculiformis'","9.00","0","plot1"
"'Acacia auriculiformis'","9.22","0","plot1"
"'Acacia auriculiformis'","13.00","0","plot1"
"'Acacia auriculiformis'","14.00","0","plot1"
"'Acacia auriculiformis'","17.00","0","plot1"
"'Albizia lebbeck'","10.00","0","plot1"
"'Albizia lebbeck'","14.00","0","plot1"
"'Bridelia retusa'","38.03","0","plot1"
"'Cleistanthus collinus'","27.02","0","plot1"
"'Cochlospermum religiosa'","35.00","0","plot1"
"'Dodonaea angustifolia'","9.85","0","plot1"
"'Dodonaea angustifolia'","13.93","0","plot1"
"'Dodonaea angustifolia'","15.03","0","plot1"
"'Dodonaea angustifolia'","10.00","0","plot1"
"'Dodonaea angustifolia'","13.60","0","plot1"
"'Dolichandrone falcata'","49.26","0","plot1"
"'Ficus benghalensis'","9.38","0","plot1"
"'Gmelina arborea'","15.03","0","plot1"
"'Hardwickia binata'","44.00","0","plot1"
"'Manilkara hexandra'","9.17","0","plot1"
"'Manilkara hexandra'","8.77","0","plot1"
"'Manilkara hexandra'","14.14","0","plot1"
"'Manilkara hexandra'","12.00","0","plot1"
"'Morinda coreia'","14.90","0","plot1"
"'Morinda coreia'","9.00","0","plot1"
"'Syzgium cumini'","33.67","0","plot1"
"'Tectona grandis'","19.52","0","plot1"
"'Terminalia arjuna'","42.17","0","plot1"
"'Ziziphus oenoplia'","8.60","0","plot1"
"'Aegle marmelos'","48.80","0","plot10"
"'Albizia lebbeck'","23.03","0","plot10"
"'Atalantia monophylla'","6.50","0","plot10"
"'Atalantia monophylla'","39.82","0","plot10"
"'Azadirachta indica'","14.50","0","plot10"
"'Azadirachta indica'","28.23","0","plot10"
"'Barringtonia acutangala'","35.71","0","plot10"
"'Barringtonia acutangala'","98.58","0","plot10"
"'Butea monosperma'","27.00","0","plot10"
"'Cassia fistula'","37.99","0","plot10"
"'Cleistanthus collinus'","28.65","0","plot10"
"'Cochlospermum religiosa'","35.48","0","plot10"
"'Cochlospermum religiosa'","60.30","0","plot10"
"'Diospyros montana'","13.86","0","plot10"
"'Dodonaea angustifolia'","8.60","0","plot10"
"'Ficus benghalensis'","330.00","0","plot10"
"'Flacourtia indica'","12.69","0","plot10"
"'Flacourtia indica'","21.00","0","plot10"
"'Flacourtia indica'","24.38","0","plot10"
"'Ixora pavetta'","38.54","0","plot10"
"'Khaya senegalensis'","11.50","0","plot10"
"'Madhuca longifolia'","43.00","0","plot10"
"'Manilkara hexandra'","12.82","0","plot10"
"'Manilkara hexandra'","19.85","0","plot10"
"'Manilkara hexandra'","35.82","0","plot10"
"'Memecylon umbellatum'","11.76","0","plot10"
"'Memecylon umbellatum'","16.03","0","plot10"
"'Memecylon umbellatum'","43.37","0","plot10"
"'Memecylon umbellatum'","101.86","0","plot10"
"'Morinda coreia'","10.00","0","plot10"
"'Morinda coreia'","11.00","0","plot10"
"'Morinda coreia'","44.00","0","plot10"
"'Pterocarpus marsupium'","57.00","0","plot10"
"'Pterocarpus santalinus'","34.00","0","plot10"
"'Pterocarpus santalinus'","57.50","0","plot10"
"'Pterocarpus santalinus'","85.46","0","plot10"
"'Pterospermum canescens'","19.84","0","plot10"
"'Pterospermum canescens'","24.06","0","plot10"
"'Syzgium cumini'","66.55","0","plot10"
"'Tectona grandis'","45.14","0","plot10"
"'Walsura trifoliata'","7.21","0","plot10"
"'Walsura trifoliata'","11.63","0","plot10"
"'Walsura trifoliata'","17.10","0","plot10"
"'Walsura trifoliata'","22.41","0","plot10"
"'Ziziphus oenoplia'","44.72","0","plot10"
"'Acacia auriculiformis'","18.00","0","plot11"
"'Albizia lebbeck'","49.66","0","plot11"
"'Azadirachta indica'","8.85","0","plot11"
"'Bauhinia racemosa'","18.44","0","plot11"
"'Bauhinia racemosa'","15.23","0","plot11"
"'Bauhinia racemosa'","16.00","0","plot11"
"'Bauhinia racemosa'","37.01","0","plot11"
"'Bauhinia racemosa'","75.33","0","plot11"
"'Bridelia retusa'","12.08","0","plot11"
"'Bridelia retusa'","12.00","0","plot11"
"'Bridelia retusa'","14.50","0","plot11"
"'Bridelia retusa'","15.00","0","plot11"
"'Bridelia retusa'","20.00","0","plot11"
"'Bridelia retusa'","33.00","0","plot11"
"'Cassia fistula'","9.00","0","plot11"
"'Cassia fistula'","14.50","0","plot11"
"'Chloroxylon swietenia'","12.53","0","plot11"
"'Chloroxylon swietenia'","16.76","0","plot11"
"'Cochlospermum religiosa'","43.76","0","plot11"
"'Cochlospermum religiosa'","75.68","0","plot11"
"'Diospyros montana'","31.40","0","plot11"
"'Dolichandrone falcata'","10.40","0","plot11"
"'Dolichandrone falcata'","27.84","0","plot11"
"'Erythroxylum monogynum'","10.56","0","plot11"
"'Flacourtia indica'","12.53","0","plot11"
"'Guazuma ulmifolia'","11.72","0","plot11"
